group,id,course,trimester,grade
1,58,Ancient Magic and Mysticism,1,7.25
1,58,Ancient Magic and Mysticism,1,9
1,58,Ancient Magic and Mysticism,1,7.75
1,58,Ancient Magic and Mysticism,1,5.25
1,58,Celestial Navigation and Astronomy,3,9
1,58,Celestial Navigation and Astronomy,3,10.5
1,58,Celestial Navigation and Astronomy,3,13
1,58,Celestial Navigation and Astronomy,3,10
1,58,Celestial Navigation and Astronomy,3,10.5
1,58,Celestial Navigation and Astronomy,3,11
1,58,Celestial Navigation and Astronomy,3,11
1,58,Celestial Navigation and Astronomy,3,9
1,58,Celestial Navigation and Astronomy,3,11
1,58,Celestial Navigation and Astronomy,3,10
1,58,Dragon Lore and Taming,2,2.5
1,58,Dragon Lore and Taming,2,8.5
1,58,Dragon Lore and Taming,2,4.5
1,58,Dragon Lore and Taming,2,7.5
1,58,Dragon Lore and Taming,2,9.5
1,58,Dragon Lore and Taming,2,12
1,58,Dragon Lore and Taming,2,6
1,58,Dragon Lore and Taming,2,4.5
1,58,Dragon Lore and Taming,2,8.5
1,58,Elemental Mastery and Control,2,10
1,58,Elemental Mastery and Control,2,10.5
1,58,Elemental Mastery and Control,2,11.5
1,58,Elemental Mastery and Control,2,10.5
1,58,History of the Arcane,2,8.75
1,58,History of the Arcane,2,7.25
1,58,History of the Arcane,2,7
1,58,Illusion and Enchantment,3,13.5
1,58,Illusion and Enchantment,3,10.5
1,58,Illusion and Enchantment,3,13
1,58,Illusion and Enchantment,3,10
1,58,Illusion and Enchantment,3,12.5
1,58,Illusion and Enchantment,3,12
1,58,Illusion and Enchantment,3,12
1,58,Necromancy and Spirit Summoning,1,10
1,58,Necromancy and Spirit Summoning,1,11
1,58,Necromancy and Spirit Summoning,1,12
1,58,Potion Brewing and Herbology,1,10
1,58,Potion Brewing and Herbology,1,8
1,58,Potion Brewing and Herbology,1,11.5
1,58,Potion Brewing and Herbology,1,8
1,58,Potion Brewing and Herbology,1,9.5
1,58,Potion Brewing and Herbology,1,10.5
1,58,Potion Brewing and Herbology,1,9.5
1,58,Potion Brewing and Herbology,1,10.5
1,58,Potion Brewing and Herbology,1,10
1,58,Runecrafting and Glyphwork,2,13
1,58,Runecrafting and Glyphwork,2,5.5
1,58,Runecrafting and Glyphwork,2,10.5
1,58,Runecrafting and Glyphwork,2,5.5
1,58,Runecrafting and Glyphwork,2,3.5
1,58,Swordsmanship and Martial Arts,1,11
1,58,Swordsmanship and Martial Arts,1,12
1,58,Swordsmanship and Martial Arts,1,10
1,58,Swordsmanship and Martial Arts,1,11
1,70,Ancient Magic and Mysticism,1,11.75
1,70,Ancient Magic and Mysticism,1,11.75
1,70,Ancient Magic and Mysticism,1,12.25
1,70,Ancient Magic and Mysticism,1,5.5
1,70,Celestial Navigation and Astronomy,3,3
1,70,Celestial Navigation and Astronomy,3,13.5
